area,state,zone,city_tier
Hyderabad,Telangana,South,Tier 1 - Metro
Ichalkaranji,Maharashtra,West,Tier 3 - Small City
Imphal,Manipur,North East,Tier 2 - Large City
Indore,Madhya Pradesh,Central,Tier 2 - Large City
Jabalpur,Madhya Pradesh,Central,Tier 2 - Large City
Jaipur,Rajasthan,North,Tier 2 - Large City
Jalandhar,Punjab,North,Tier 2 - Large City
Jalgaon,Maharashtra,West,Tier 2 - Large City
Jalna,Maharashtra,West,Tier 3 - Small City
Jamalpur,Bihar,East,Tier 3 - Small City
Jammu,Jammu and Kashmir,North,Tier 2 - Large City
Jamnagar,Gujarat,West,Tier 2 - Large City
Jamshedpur,Jharkhand,East,Tier 2 - Large City
Jaunpur,Uttar Pradesh,Central,Tier 3 - Small City
Jehanabad,Bihar,East,Tier 3 - Small City
Jhansi,Uttar Pradesh,Central,Tier 2 - Large City
Jodhpur,Rajasthan,North,Tier 2 - Large City
Jorhat,Assam,North East,Tier 3 - Small City
Junagadh,Gujarat,West,Tier 3 - Small City
Kadapa,Andhra Pradesh,South,Tier 3 - Small City
Kakinada,Andhra Pradesh,South,Tier 3 - Small City
Kalyan-Dombivli,Maharashtra,West,Tier 3 - Small City
Kamarhati,West Bengal,East,Tier 3 - Small City
Kanpur,Uttar Pradesh,Central,Tier 2 - Large City
Karaikudi,Tamil Nadu,South,Tier 3 - Small City
Karawal Nagar,Delhi,North,Tier 3 - Small City
Karimnagar,Telangana,South,Tier 3 - Small City
Karnal,Haryana,North,Tier 3 - Small City
Katihar,Bihar,East,Tier 3 - Small City
Katni,Madhya Pradesh,Central,Tier 3 - Small City
Kavali,Andhra Pradesh,South,Tier 3 - Small City
Khammam,Telangana,South,Tier 3 - Small City
Khandwa,Madhya Pradesh,Central,Tier 3 - Small City
Kharagpur,West Bengal,East,Tier 3 - Small City
Khora,Uttar Pradesh,Central,Tier 3 - Small City
Kirari Suleman Nagar,Delhi,North,Tier 3 - Small City
Kishanganj,Bihar,East,Tier 3 - Small City
Kochi,Kerala,South,Tier 2 - Large City
Kolhapur,Maharashtra,West,Tier 2 - Large City
Kolkata,West Bengal,East,Tier 1 - Metro
Kollam,Kerala,South,Tier 3 - Small City
Korba,Chhattisgarh,Central,Tier 3 - Small City
Kota,Rajasthan,North,Tier 2 - Large City
Kottayam,Kerala,South,Tier 3 - Small City
Kozhikode,Kerala,South,Tier 2 - Large City
Kulti,West Bengal,East,Tier 3 - Small City
Kumbakonam,Tamil Nadu,South,Tier 3 - Small City
Kurnool,Andhra Pradesh,South,Tier 3 - Small City
Latur,Maharashtra,West,Tier 3 - Small City
Loni,Uttar Pradesh,Central,Tier 3 - Small City
Lucknow,Uttar Pradesh,Central,Tier 2 - Large City
Ludhiana,Punjab,North,Tier 2 - Large City
Machilipatnam,Andhra Pradesh,South,Tier 3 - Small City
Madanapalle,Andhra Pradesh,South,Tier 3 - Small City
Madhyamgram,West Bengal,East,Tier 3 - Small City
Madurai,Tamil Nadu,South,Tier 2 - Large City
Mahbubnagar,Telangana,South,Tier 3 - Small City
Maheshtala,West Bengal,East,Tier 3 - Small City
Malda,West Bengal,East,Tier 3 - Small City
Malegaon,Maharashtra,West,Tier 3 - Small City
Mangalore,Karnataka,South,Tier 2 - Large City
Mango,Jharkhand,East,Tier 3 - Small City
Mathura,Uttar Pradesh,Central,Tier 3 - Small City
Mau,Uttar Pradesh,Central,Tier 3 - Small City
Medininagar,Jharkhand,East,Tier 3 - Small City
Meerut,Uttar Pradesh,Central,Tier 2 - Large City
Mehsana,Gujarat,West,Tier 3 - Small City
Mira-Bhayandar,Maharashtra,West,Tier 3 - Small City
Miryalaguda,Telangana,South,Tier 3 - Small City
Mirzapur,Uttar Pradesh,Central,Tier 3 - Small City
Moradabad,Uttar Pradesh,Central,Tier 2 - Large City
Morbi,Gujarat,West,Tier 3 - Small City
Morena,Madhya Pradesh,Central,Tier 3 - Small City
Motihari,Bihar,East,Tier 3 - Small City
Mumbai,Maharashtra,West,Tier 1 - Metro
Munger,Bihar,East,Tier 3 - Small City
Muzaffarnagar,Uttar Pradesh,Central,Tier 3 - Small City
Muzaffarpur,Bihar,East,Tier 3 - Small City
Mysore,Karnataka,South,Tier 2 - Large City
Nadiad,Gujarat,West,Tier 3 - Small City
Nagaon,Assam,North East,Tier 3 - Small City
Nagercoil,Tamil Nadu,South,Tier 3 - Small City
Nagpur,Maharashtra,West,Tier 2 - Large City
Naihati,West Bengal,East,Tier 3 - Small City
Nanded,Maharashtra,West,Tier 2 - Large City
Nandyal,Andhra Pradesh,South,Tier 3 - Small City
Nangloi Jat,Delhi,North,Tier 3 - Small City
Narasaraopet,Andhra Pradesh,South,Tier 3 - Small City
Nashik,Maharashtra,West,Tier 2 - Large City
Navi Mumbai,Maharashtra,West,Tier 2 - Large City
Nellore,Andhra Pradesh,South,Tier 3 - Small City
New Delhi,Delhi,North,Tier 1 - Metro
Nizamabad,Telangana,South,Tier 3 - Small City
Noida,Uttar Pradesh,Central,Tier 2 - Large City
North Dumdum,West Bengal,East,Tier 3 - Small City
Ongole,Andhra Pradesh,South,Tier 3 - Small City
Orai,Uttar Pradesh,Central,Tier 3 - Small City
Ozhukarai,Puducherry,South,Tier 3 - Small City
Pali,Rajasthan,North,Tier 3 - Small City
Pallavaram,Tamil Nadu,South,Tier 3 - Small City
Panchkula,Haryana,North,Tier 3 - Small City
Panihati,West Bengal,East,Tier 3 - Small City
Panipat,Haryana,North,Tier 2 - Large City
Panvel,Maharashtra,West,Tier 3 - Small City
Parbhani,Maharashtra,West,Tier 3 - Small City
Patiala,Punjab,North,Tier 3 - Small City
Patna,Bihar,East,Tier 2 - Large City
Phagwara,Punjab,North,Tier 3 - Small City
Phusro,Jharkhand,East,Tier 3 - Small City
Pimpri-Chinchwad,Maharashtra,West,Tier 2 - Large City
Pondicherry,Puducherry,South,Tier 2 - Large City
Proddatur,Andhra Pradesh,South,Tier 3 - Small City
Pudukkottai,Tamil Nadu,South,Tier 3 - Small City
Pune,Maharashtra,West,Tier 1 - Metro
Purnia,Bihar,East,Tier 3 - Small City
Raebareli,Uttar Pradesh,Central,Tier 3 - Small City
Raichur,Karnataka,South,Tier 3 - Small City
Raiganj,West Bengal,East,Tier 3 - Small City
Raipur,Chhattisgarh,Central,Tier 2 - Large City
Rajahmundry,Andhra Pradesh,South,Tier 3 - Small City
Rajkot,Gujarat,West,Tier 2 - Large City
Rajpur Sonarpur,West Bengal,East,Tier 3 - Small City
Ramagundam,Telangana,South,Tier 3 - Small City
Ramgarh,Jharkhand,East,Tier 3 - Small City
Rampur,Uttar Pradesh,Central,Tier 3 - Small City
Ranchi,Jharkhand,East,Tier 2 - Large City
Ratlam,Madhya Pradesh,Central,Tier 3 - Small City
Raurkela Industrial Township,Odisha,East,Tier 3 - Small City
Rewa,Madhya Pradesh,Central,Tier 3 - Small City
Rohtak,Haryana,North,Tier 3 - Small City
Rourkela,Odisha,East,Tier 3 - Small City
Sagar,Madhya Pradesh,Central,Tier 3 - Small City
Saharanpur,Uttar Pradesh,Central,Tier 2 - Large City
Saharsa,Bihar,East,Tier 3 - Small City
Salem,Tamil Nadu,South,Tier 2 - Large City
Sambalpur,Odisha,East,Tier 3 - Small City
Sambhal,Uttar Pradesh,Central,Tier 3 - Small City
Sangli-Miraj & Kupwad,Maharashtra,West,Tier 3 - Small City
Sasaram,Bihar,East,Tier 3 - Small City
Satara,Maharashtra,West,Tier 3 - Small City
Satna,Madhya Pradesh,Central,Tier 3 - Small City
Secunderabad,Telangana,South,Tier 2 - Large City
Serampore,West Bengal,East,Tier 3 - Small City
Shahjahanpur,Uttar Pradesh,Central,Tier 3 - Small City
Shimla,Himachal Pradesh,North,Tier 2 - Large City
Shimoga,Karnataka,South,Tier 3 - Small City
Shivpuri,Madhya Pradesh,Central,Tier 3 - Small City
Sikar,Rajasthan,North,Tier 3 - Small City
Silchar,Assam,North East,Tier 3 - Small City
Siliguri,West Bengal,East,Tier 2 - Large City
Singrauli,Madhya Pradesh,Central,Tier 3 - Small City
Sirsa,Haryana,North,Tier 3 - Small City
Siwan,Bihar,East,Tier 3 - Small City
Solapur,Maharashtra,West,Tier 2 - Large City
Sonipat,Haryana,North,Tier 3 - Small City
South Dumdum,West Bengal,East,Tier 3 - Small City
Sri Ganganagar,Rajasthan,North,Tier 3 - Small City
Srikakulam,Andhra Pradesh,South,Tier 3 - Small City
Srinagar,Jammu and Kashmir,North,Tier 2 - Large City
Sultan Pur Majra,Delhi,North,Tier 3 - Small City
Surat,Gujarat,West,Tier 3 - Small City
Surendranagar Dudhrej,Gujarat,West,Tier 3 - Small City
Suryapet,Telangana,South,Tier 3 - Small City
Tadepalligudem,Andhra Pradesh,South,Tier 3 - Small City
Tadipatri,Andhra Pradesh,South,Tier 3 - Small City
Tenali,Andhra Pradesh,South,Tier 3 - Small City
Tezpur,Assam,North East,Tier 3 - Small City
Thane,Maharashtra,West,Tier 2 - Large City
Thanjavur,Tamil Nadu,South,Tier 3 - Small City
Thiruvananthapuram,Kerala,South,Tier 2 - Large City
Thoothukudi,Tamil Nadu,South,Tier 3 - Small City
Thrissur,Kerala,South,Tier 2 - Large City
Tinsukia,Assam,North East,Tier 3 - Small City
Tiruchirappalli,Tamil Nadu,South,Tier 2 - Large City
Tirunelveli,Tamil Nadu,South,Tier 2 - Large City
Tirupati,Andhra Pradesh,South,Tier 3 - Small City
Tiruppur,Tamil Nadu,South,Tier 2 - Large City
Tiruvottiyur,Tamil Nadu,South,Tier 3 - Small City
Tumkur,Karnataka,South,Tier 3 - Small City
Udaipur,Rajasthan,North,Tier 2 - Large City
Udupi,Karnataka,South,Tier 3 - Small City
Ujjain,Madhya Pradesh,Central,Tier 2 - Large City
Ulhasnagar,Maharashtra,West,Tier 2 - Large City
Uluberia,West Bengal,East,Tier 3 - Small City
Unnao,Uttar Pradesh,Central,Tier 3 - Small City
Vadodara,Gujarat,West,Tier 2 - Large City
Varanasi,Uttar Pradesh,Central,Tier 2 - Large City
Vasai-Virar,Maharashtra,West,Tier 3 - Small City
Vellore,Tamil Nadu,South,Tier 3 - Small City
Vijayanagaram,Andhra Pradesh,South,Tier 3 - Small City
Vijayawada,Andhra Pradesh,South,Tier 2 - Large City
Visakhapatnam,Andhra Pradesh,South,Tier 2 - Large City
Warangal,Telangana,South,Tier 2 - Large City
Yamunanagar,Haryana,North,Tier 3 - Small City
